x,y,z,x_ro,y_ro,z_ro
1.0,0.0,-1,0,0,0
0.9980267284282716,0.06279051952931337,-1,0,0,0
0.9921147013144779,0.12533323356430426,-1,0,0,0
0.9822872507286887,0.18738131458572463,-1,0,0,0
0.9685831611286311,0.2486898871648548,-1,0,0,0
0.9510565162951535,0.3090169943749474,-1,0,0,0
0.9297764858882515,0.368124552684678,-1,0,0,0
0.9048270524660195,0.4257792915650727,-1,0,0,0
0.8763066800438636,0.4817536741017153,-1,0,0,0
0.8443279255020151,0.5358267949789967,-1,0,0,0
0.8090169943749475,0.5877852522924731,-1,0,0,0
0.7705132427757891,0.6374239897486897,-1,0,0,0
0.7289686274214116,0.6845471059286887,-1,0,0,0
0.6845471059286886,0.7289686274214116,-1,0,0,0
0.6374239897486896,0.7705132427757893,-1,0,0,0
0.587785252292473,0.8090169943749475,-1,0,0,0
0.5358267949789965,0.8443279255020151,-1,0,0,0
0.48175367410171516,0.8763066800438637,-1,0,0,0
0.42577929156507266,0.9048270524660196,-1,0,0,0
0.36812455268467786,0.9297764858882515,-1,0,0,0
0.30901699437494745,0.9510565162951535,-1,0,0,0
0.24868988716485474,0.9685831611286311,-1,0,0,0
0.18738131458572452,0.9822872507286887,-1,0,0,0
0.12533323356430426,0.9921147013144779,-1,0,0,0
0.0627905195293133,0.9980267284282716,-1,0,0,0
-1.6081226496766366e-16,1.0,-1,0,0,0
-0.0627905195293134,0.9980267284282716,-1,0,0,0
-0.12533323356430437,0.9921147013144778,-1,0,0,0
-0.18738131458572482,0.9822872507286886,-1,0,0,0
-0.24868988716485485,0.9685831611286311,-1,0,0,0
-0.30901699437494756,0.9510565162951535,-1,0,0,0
-0.368124552684678,0.9297764858882515,-1,0,0,0
-0.4257792915650727,0.9048270524660195,-1,0,0,0
-0.48175367410171543,0.8763066800438635,-1,0,0,0
-0.5358267949789969,0.844327925502015,-1,0,0,0
-0.587785252292473,0.8090169943749475,-1,0,0,0
-0.6374239897486897,0.7705132427757893,-1,0,0,0
-0.6845471059286887,0.7289686274214114,-1,0,0,0
-0.7289686274214117,0.6845471059286885,-1,0,0,0
-0.7705132427757894,0.6374239897486895,-1,0,0,0
-0.8090169943749473,0.5877852522924732,-1,0,0,0
-0.8443279255020151,0.5358267949789967,-1,0,0,0
-0.8763066800438636,0.4817536741017152,-1,0,0,0
-0.9048270524660196,0.4257792915650725,-1,0,0,0
-0.9297764858882515,0.36812455268467775,-1,0,0,0
-0.9510565162951536,0.3090169943749471,-1,0,0,0
-0.9685831611286311,0.24868988716485482,-1,0,0,0
-0.9822872507286887,0.18738131458572457,-1,0,0,0
-0.9921147013144779,0.1253332335643041,-1,0,0,0
-0.9980267284282716,0.06279051952931314,-1,0,0,0
-1.0,-3.216245299353273e-16,-1,0,0,0
-0.9980267284282716,-0.06279051952931335,-1,0,0,0
-0.9921147013144779,-0.12533323356430429,-1,0,0,0
-0.9822872507286886,-0.18738131458572477,-1,0,0,0
-0.9685831611286311,-0.24868988716485502,-1,0,0,0
-0.9510565162951535,-0.30901699437494773,-1,0,0,0
-0.9297764858882512,-0.3681245526846783,-1,0,0,0
